Disease,Symptoms,Medications,Precautions,Doctor_Specialist
Alzheimer’s disease,Short-term memory loss disorientation difficulty recognizing familiar people impaired judgment personality changes,Donepezil Rivastigmine Galantamine Memantine,Maintain mental stimulation with reading and puzzles; ensure a safe home environment; follow regular medical checkups,Neurologist
Parkinson’s disease,Resting hand tremor muscle rigidity slowed movement shuffling gait reduced facial expression,Levodopa Carbidopa Pramipexole Ropinirole Selegiline,Avoid stress and fatigue; follow physiotherapy and balance exercises; take medications regularly,Neurologist
Epilepsy,Recurrent unprovoked seizures sudden loss of awareness jerking limb movements post-seizure confusion,Phenytoin Sodium Valproate Carbamazepine Levetiracetam Lamotrigine,Avoid seizure triggers like alcohol and sleep deprivation; take medicines consistently; ensure safety during activities,Neurologist
Stroke,Sudden facial droop arm weakness slurred speech loss of coordination vision loss,Aspirin Clopidogrel Atorvastatin Alteplase,Control blood pressure and diabetes; avoid smoking and alcohol; seek immediate medical care for warning signs,Neurologist
Migraine,Throbbing one-sided head pain visual aura nausea light sensitivity sound sensitivity,Paracetamol Ibuprofen Sumatriptan Propranolol Topiramate,Avoid trigger foods; maintain regular sleep; reduce stress and stay hydrated,Neurologist
Multiple sclerosis,Intermittent limb numbness blurred vision electric shock sensation poor balance muscle spasticity,Interferon beta Glatiramer acetate Natalizumab Corticosteroids,Avoid extreme temperatures; manage stress; follow physical therapy and medications,Neurologist
Meningitis,High fever neck stiffness severe headache light sensitivity altered consciousness,Ceftriaxone Vancomycin Ampicillin Acyclovir,Maintain hygiene; get vaccinated; seek early medical attention,Neurologist
Encephalitis,Fever confusion seizures personality change altered mental state weakness,Acyclovir Corticosteroids Anticonvulsants,Avoid mosquito bites; maintain hygiene; seek urgent care for fever with confusion,Neurologist
Cerebral palsy,Delayed motor milestones abnormal muscle tone poor posture involuntary movements,Baclofen Diazepam Botulinum toxin,Provide regular physiotherapy; use supportive mobility aids; maintain proper nutrition,Neurologist
Brain tumor,Progressive morning headaches vomiting seizures personality change focal weakness,Dexamethasone Phenytoin Chemotherapy drugs,Avoid head injuries; attend regular follow-ups; manage seizures carefully,Neurosurgeon
Huntington’s disease,Involuntary jerky movements progressive cognitive decline mood disturbances speech difficulty,Tetrabenazine Haloperidol Antidepressants,Maintain physical activity; ensure psychological support; prevent falls,Neurologist
ALS,Progressive muscle wasting slurred speech difficulty swallowing breathing weakness,Riluzole Edaravone,Prevent respiratory infections; maintain nutrition; use breathing support if needed,Neurologist
Hypertension,Occipital morning headache blurred vision episodic dizziness nosebleeds,Amlodipine Losartan Enalapril Hydrochlorothiazide Metoprolol,Reduce salt intake; exercise regularly; monitor blood pressure,Cardiologist
Coronary artery disease,Exertional chest tightness relieved by rest jaw pain shortness of breath,Aspirin Atorvastatin Metoprolol Nitroglycerin,Avoid smoking; follow heart-healthy diet; control cholesterol,Cardiologist
Heart attack,Crushing central chest pain radiating to left arm cold sweating nausea breathlessness,Aspirin Clopidogrel Heparin Morphine Atorvastatin,Avoid smoking; manage BP and diabetes; seek emergency care immediately,Cardiologist
Heart failure,Orthopnea ankle swelling nocturnal breathlessness rapid weight gain,Furosemide Enalapril Metoprolol Spironolactone Digoxin,Limit salt and fluids; monitor weight daily; take medicines regularly,Cardiologist
Arrhythmia,Irregular pulse sudden palpitations episodic fainting chest fluttering,Amiodarone Atenolol Verapamil Anticoagulants,Avoid caffeine and alcohol; manage stress; follow medications strictly,Cardiologist
Asthma,Recurrent wheezing episodic breathlessness chest tightness nighttime cough,Salbutamol Budesonide Montelukast,Avoid allergens; use inhalers correctly; follow asthma action plan,Pulmonologist
Bronchitis,Productive cough thick sputum chest burning low-grade fever,Amoxicillin Salbutamol NSAIDs,Avoid smoking; stay hydrated; complete medications,Pulmonologist
Pneumonia,High-grade fever rusty sputum pleuritic chest pain rapid breathing,Azithromycin Amoxicillin Ceftriaxone,Get vaccinated; maintain hygiene; seek early treatment,Pulmonologist
Tuberculosis,Chronic cough blood-streaked sputum night sweats unexplained weight loss,Isoniazid Rifampicin Ethambutol Pyrazinamide,Complete TB treatment fully; ensure ventilation; maintain nutrition,Pulmonologist
COPD,Chronic daily cough progressive breathlessness barrel chest frequent infections,Tiotropium Salbutamol Inhaled steroids,Quit smoking; avoid pollution; do breathing exercises,Pulmonologist
Diabetes mellitus,Frequent urination excessive thirst unexplained weight loss slow wound healing,Metformin Insulin Glimepiride,Monitor blood sugar; follow diet control; exercise regularly,Endocrinologist
Depression,Persistent sadness loss of interest sleep disturbance hopelessness low energy,Fluoxetine Sertraline Escitalopram,Maintain routine; seek counseling; take medications regularly,Psychiatrist
Fungal infection,Red itchy ring-shaped skin lesions peeling scaling burning sensation,Clotrimazole Ketoconazole Fluconazole,Keep skin dry; avoid sharing clothes; complete antifungal treatment,Dermatologist
Vitiligo,Milky white depigmented skin patches symmetrical pigment loss hair whitening,Topical steroids Tacrolimus,Protect skin from sun; avoid skin injury; follow treatment,Dermatologist
Psoriasis,Red scaly plaques silvery scales itching nail pitting,Topical steroids Vitamin D analogs Methotrexate,Moisturize skin; avoid triggers like stress and infections; follow treatment,Dermatologist
Eczema,Dry itchy skin red inflamed patches oozing crusting,Hydrocortisone Tacrolimus Antihistamines,Avoid irritants; keep skin moisturized; follow treatment,Dermatologist
Acne,Comedones papules pustules nodules cysts oily skin,Topical benzoyl peroxide Topical retinoids Oral antibiotics,Avoid oily cosmetics; maintain facial hygiene; follow treatment,Dermatologist
